song_id,song_str,term_count,tf
1842,darker dark bottom rumbl rumba think two step got em take look number got certain swing make wanna sing go left polit move right reactionari close eye bound found reactionari best dictat millionair keep steppin four hundr love sing ford morgan swing hand high shake head soon see red reactionari go left polit move right reactionari close eye bound found reactionari best dictat millionair keep steppin four hundr love sing ford morgan swing hand high shake head soon see red reac reactionari get begin smart oh reactionari,87,0.00012894715389916926
1843,draw circl perfectli round one curv line simpl fine add two ear lopsid nose care add hair draw two eye make bright seen beauti sight sketch mouth radiant grin one come deep within drawn circl pictur,36,5.3357442992759694e-05
1844,time pass fanni given birth daughter franc five month old fanni go back new ziegfeld show eddi mr strakosh suggest fanni mother need new interest life eddi mr strakosh find man mr brice dement eddi mr strakosh find man mr brice need eddi see differ make ev ry day mr brice send letter write resum mr strakosh take dave mr brice romeo juliet eddi dave still slave mr brice send slave regard eddi mr strakosh open heart sky princ hors materi mr brice boy lucki princ gonna get surpris find man eddi mr strakosh find man mr strakosh repeat rose mr brice find man eddi defeat rose mr brice hang sign big letter high come sampl buy eddi hear voic talk back mr brice hear voic mr strakosh money lack mr brice countin need middl age sheik whose upper lower click speak life song caus click creak find man eddi mr strakosh man select mr brice eddi mr strakosh must treat respect mr brice import eddi must understand rule obey toy moral lead astray mr brice pleas darl let man thing way mr strakosh eddi find man mr brice grandmoth mr strakosh find man mr brice got somebodi mind find man,201,0.0002979123900429083
1845,met boy call frank mill septemb right front waverley unfortun lost address last seen friend drummer resembl georg harrison beatl wear hair tie small bow back love embarrass walk street live brooklyn somewher wear white crash helmet gold chain leather jacket back written name mari mom hell angel would grate appreci see tell park girlfriend pleas tell angela want dollar back,61,9.041122284884281e-05
1846,shout kitchen stand cigarett brand switchen unhappi thing way occur time face fact minc word certain parti bird brain get bird au revior fare thee well goodby tell funni thing happen way love lost young fella dream chang wait hope call someon fun well stop forget els much thank let practis farewel love excus pleas dust unravel travel must tear hurt surpris pleasant glow realis much love deep true strong readi hand dear mr wrong think treasur joy delight give mr right mr right asta la vista ta ta toodl oo world keep turn around someon els wait friend best wish dish send long way thank buggi ride may say much love deep true strong alreadi hand dear mr wrong think treasur joy delight give long live night mr right,130,0.0001926796552516322
1847,one golden dawn one summer night noth left say let dream begin carri wind wander away one golden sky one spark light forev remain song storm brought us close kept us warm alon make love rain gone world outsid home turn tide true love find sun know reason make hunger whisper mi amor ocean roar night becom golden dawn two heart one tear cri love never die afraid fli far must fall one silver song one lullabi love make look eye moon rise sound heart break gone dark night call earli glow send bird love circl us still hunger whisper mi amor ocean roar arm reach shine sea night becom golden dawn,112,0.00016600093375525237
1848,stephen sondheim ye know goodby long year day ye love ye next world away see free see see fine ok goodby goodby whenev free said leav come go well somehow hello make worth goodby,34,5.039314060427304e-05
1849,gotta move gotta get gotta leav place gotta find place place brand new place place face see stare back tell place gotta move got get gotta leav town gotta find town big new town bright new town new town new place new live new face gotta find man new man man worri bout go man ask learn know man know gotta free man know let gotta move gotta get gotta chang life gotta find life find place new town babi find new place mayb gotta leav town gotta leav place gotta find new man gotta move,96,0.00014228651464735917
1850,rememb sat upon knee wrote childhood fantasi well grown still help somehow child heart still dream lifelong wish grown x ma list world need live torn apart war would never start time would heal heart everi man would friend right would alway win love would never end grown christma list illus call innoc youth mayb blind belief ever find truth live torn apart war would never start time would heal heart everi man would friend right would alway win love would never end grow x ma list life long wish grown x ma list,94,0.00013932221225887253
1851,say love say love stop cryin dri weep eye know love babi come rub belli like guava jelli babi come rub belli like guava jelli say need say need stop cryin dri weep eye know love babi come rub belli like guava jelli babi come rub belli like guava jelli ooh rub babi repeat background voic ooh rub choru background keep rubbin belli x2 rub rub rub ooh rub belli keep rubbin belli fade,74,0.00010967918837400603
1852,said tri tryin enough actin like stranger way make love never gonna work time stop pretend time turn page stori need end make sens stay live life yesterday leav leav beg heart chang mind oh heart strong time tri help tell goodby bring pain us stay oh heart hard know let let go let think good know tri anyth keep door hard leav love long walk away still hold found strength today look final say beg heart chang mind oh heart strong time tri help tell goodby bring pain us stay oh heart hard know let let go make sens stay sad end way heart chang mind oh heart strong time tri help tell goodby bring pain us stay oh heart hard know let let go,126,0.00018675105047465893
1853,fanni part ziegfeld folli tell florenz ziegfeld want final find lyric inappropri ziegfeld insist tenor better wors oh promis everi bride glow ravishingli within secret heart everi bride word repeat repeat repeat insid bing bong bing bong beauti reflect love affect walk illustr ador love make beauti beauti beauti ask look glass make exquisit answer queri come back deari love make beauti beauti beauti woman love woman glorifi make beauti beauti beauti beauti bride choru come bride anoth beauti bride ziegfeld present justifi pride fanni enter pillow stuf bridal gown appear pregnant fanni beauti reflect love affect walk illustr ador love make beauti beauti beauti tenor woman love woman glorifi fanni make beauti beauti beauti beauti beauti oy choru beauti beauti beauti tenor beauti bride,125,0.00018526889928041558
1854,honey honey put cloth feel good feel like oh pleas let get touch move get think needin anyth keep warm feel feel al1 way feel ever honey honey put cloth feel good feel like like old friend togeth comfort sooth brand new littl worn comfi roomi someth stay home far away lone day honey honey put cloth feel good feel like feel feel day feel ever honey honey put cloth feel good feel like honey honey honey hum,78,0.00011560779315097934
1855,care much go stay care much either way heart grow hard windi street lip grow cold rent meet kiss touch warn fair care much care much go stay care much either way word sound fals coat thin feet waltz roof cave kiss touch warn fair care much,47,6.966110612943626e-05
1856,went look new love differ kind true love would treat right day night babi went look found love went look new love differ kind true love gonna treat right day night found life fill laughter found love lost direct life one big question fill doubt know go happi show found love found love found new love wonder true love spend money like call honey gonna pleas gonna hug squeez gonna love madli gonna love gladli gonna hold love went look new love differ kind true love gonna treat right everi day everi night found life fill laughter found love found love found new love wonder true love spend money love call ho ho honey gonna pleas gonna hug squeez gonna love madli gonna love gladli gonna hold love gonna hold love babi went look new love differ kind true love gonna treat right everi day everi night found life fill laughter caus found love look true love kind new love gonna treat right gonna give love everi night,168,0.00024900140063287854
1857,true love true love someth see true love least kept tell first thing morn still tri think way part even way live day true love gone left good lord know hear back yard whisper go round neighborhood mayb lot thing miss lot thing know know got love upon time true love even doorway stand wait come hous swept cloth hung pot stove meal wast rise newel gone soon way use everybodi keep tell may lot thing miss lot thing know know got love upon time true love,87,0.00012894715389916926
1858,like like strang feel like never dream could foolish unworldli yet appeal like feel aliv free bird bee outsmart littl arrow dart dart dart like like ceil like zee like like like instrument never dream could foolish unworldli yet appeal like zee like like like,45,6.669680374094961e-05
1859,come anoth dawn everi child see time morn sun burn got skyward eye like never smile say goodby show door everi one come preciou time break away mean shine oh mean shine look morn sun know mean shine day realiz world knew gone new season come chang crown stood upon afraid feel scare fall free said real seem clear everyon breath come time fli away mean shine mean shine look morn sun know mean shine everyon breath come time break away mean shine oh mean shine look morn sun know mean shine,92,0.00013635790987038589
1860,never much money never race joke end funni door slam face think charm alway hope someon would never love like never good type trust alway trip log often bust chase friendli dog think charm alway hope someon would never love like never good hm think charm alway hope someon would never love like never good,55,8.151831568338286e-05
1861,done lost ugli spare cheer got warmth smoother worri brow oh girl use close door girl hmm feelin fine full bliss realli wanna say never seen snow know snow beauti beauti like love like love nothin compar nothin anywher love hundr thing see twilight sky tree none beauti one beauti like love like love see face none take place love stone roll heart laid eye near boy far away look right start saw new horizon road take want took need took need took oh oh never seen snow know nothin ever nothin ever beauti love like love nothin beauti,99,0.00014673296823008915
1862,never meant hurt way pleas believ word heart heart seem small swear never meant hurt guess lost place pleas believ ward heart heart hide fail thing never mean oh speak carelessli felt love swear never never meant hurt got make know pleas believ word heart heart show never meant hurt meant love true saw cri cri,56,8.300046687762618e-05
1863,dream wish last live beyond etern summer gone winter weather everyth eye yet see year go promis one run night long wind begin blow even seem everyth go wrong swear swear one let go life get tough ooh road get rough ooh know await us round bend count faith though everyth could never end could never end rain shine everi cloudi sky one run night long wind begin blow even seem everyth go wrong swear swear one let go anytim need know know everywher everywher anytim lost turn around turn around take hand light night promis even seem everyth go wrong swear swear one let go let go swear swear one let go let go,115,0.00017044738733798236
1864,rather blue think rather blue happi somebodi els crazi ya without ya strong without ya oucha goucha stay long need littl ah littl ooh littl oh knock wood honey hurri hurri hurri hard good rather blue think rather blue happi somebodi els good bad fool fool littl flat turn sunday school away say ice man sing blue gonna use noth frigidair rather blue think rather blue happi somebodi els blue rather blue hap hap hap happi somebodi els,78,0.00011560779315097934
1865,girl pretti like miss atlant citi get life piti pat kindli name star contest pageant never get bat must shine everi detail like ring buy retail standard size fit standard dress girl incident bigger two lentil spell success frumpi face could caus ya temporari nausea hear lectur nose deviat crime nation throw jail drown cat look bit balanc possess golden talent pill bitter digest oh got nice deport hmm see ortmund galleri throw fruit,74,0.00010967918837400603
1866,close eye fli drink rain tast sky catch wind make mine like sun shine suddenli door open wide thousand path never tri follow follow hear say find way mayb dream dream see real dawn dawn come surpris simpli close eye,40,5.928604776973299e-05
1867,never met never saw face world world would colder place bet never met never met never knew love life life might sad song regret never met said one hello look world begin spin look shadow disappear never met never felt kiss day night would fill like true know love know never met look shadow disappear never met never felt kiss day night would fill like true know love know never met know love know never met must love right folk got nothin troubl littl joy live wherev go happi follow must lovin right might way ador way hold tight know reason believin must lovin right friend say love fade away time know wrong caus never known love like mine whole world goe crazi let everyon els fuss fight said done lucki one must lovin right folk got nothin troubl oh littl joy live wherev go happi follow must lovin right must lovin right,153,0.00022676913271922868
1868,vinc fall place land lose touch hand one hold run reason tri love enough one run barbra rather go pain love put us spend one day without side ever leav take ever lone want lone home besid matter may go love insid even know barbra world anger lie find peac eye flame dark ooh space time til everi star refus shine barbra know heart rather go pain love put us spend one day without side ever leav take ever lone want lone woah home besid matter may go barbra may go love insid even know rememb life without way use feel like million year away vinc well hold til angel sing barbra tell everi littl thing promis forev day ever leav take ever lone want lone woah home besid matter may go vinc may go love insid even know barbra even know vinc even know even know even know,149,0.00022084052794225538
1869,home home night troubl alon feel need sympathi nobodi around keep compani rememb babi alway count home home home hum home wherev may wander wherev may roam come back wait one els ever love way comfort see home home home,40,5.928604776973299e-05
1870,know love come along know know sight face care care care stop stare know long speak know heart know ever ask right wise smart stop stare face throng ye know love come along stand eye one day need second glanc way know love come along know know sight face care care care stop stare face throng ye know love come along,61,9.041122284884281e-05
1871,tell love red red rose run brook sweet magnolia grow tell love everi littl star whippoorwil hill tell man street everyon meet sweetheart shout roof give paper proof two complet heart want world know use radio said say may old gray get away,43,6.373250135246297e-05
1872,funni thing look get thrill never knew piti never met last like dream two us perfect team piti never met imagin lone year wast neighbor silli labor joy untast night sour spent schopenhau let forget past let agre piti never never met imagin year wast fish salmon lose backgammon joy untast prado colorado happiest girl sure would say piti never met aw piti never never met,66,9.782197882005944e-05
1873,corneliu take moment eye meet heart know moment never alon held instant arm felt sure strong take moment love whole life long clerk miss word back mr hackl right docket take moment arm felt sure strong take moment mr molloy held instant arm felt safe strong take moment love whole life long corneliu love mr molloy recal time run took moment love whole life long,65,9.63398276258161e-05
1874,gay littl dicki bird sing put zing butterfli wing reason smile troubadour breez barrel fun even bee son gun free stringless got string hold make fret make frown string free string hi merri happi want world know noth ever worri got string fun tie anyon love liberti string got string fun tie anyon love liberti string,56,8.300046687762618e-05
1875,tell stori bout man love live sky cloud know everi river everi mountain stream gentleman tell live dream believ say true mayb someday happen like alway watch believ magic plain see believ say true mayb someday happen softli whisper ear dream want hear softli whisper ear dream want hear take lone take dream pleas leav wait long seem believ say true mayb babi someday happen softli whisper ear dream want hear want hear want hear wanna want hear,78,0.00011560779315097934
1876,bee lie sleepin palm hand bewitch deep love long look land see sun sky mornin dew day go laughin love come callin sleep bee waken believ pass mine taken happi last mayb dream seem sweet golden crown sleepin bee done told walk feet ground one true love found sleep bee waken believ pass mine taken happi last mayb dream seem golden crown sleepin bee told walk feet ground one true love found,72,0.00010671488598551939
1877,tell us lie tri tell us grown rememb futur cri could angel look ancient eye see know power futur could fall rise know set free children send love everyon children danc sing rhythm age blind sun children danc sing let talk hide secret eye child thing never could angel make dream come true children send love everyon children danc sing rhythm age blind sun children danc sing stand freedom everyon know tell truth play stand freedom messag song light swept away someon catch fall children send love everyon children danc sing high rhythm age see run blind sun got sure children danc watch shine sing love children send like love everyon place children danc time sing high rhythm age see run blind sun got sure children danc watch shine sing love children send like love everyon place children danc time sing high rhythm age see run blind sun got sure children danc watch shine sing high high love high love high love,162,0.00024010849346741862
1878,free easi style howdi watch smile fare well caus gotta roam place hang hat home sweetenin water cherri wine thank kindli suit fine kansa citi even carolina honeycomb caus place hang hat home bird roostin tree pick go goin prove oughta pick spirit move cross river round bend howdi stranger long friend voic lonesom wind keep whisper roam go welcom mat matter caus place hang hat home,67,9.930413001430276e-05
1879,walk pass littl sign say keep grass ever stop ask pretti playground children use know littl squar lover love go disappear park lot grow start question never ceas disturb disturb peac pet children prohibit ask think bullet fli like popcorn screen recommend wholesom nice clean make love thing seen let hair inch two let skin red green blue invent special name clear day oh say see remain mountain sceneri catch glimps sceneri sky beauti sky shini penni walk pass near sign say keep grass put sign right next say,89,0.0001319114562876559
1880,think heart beat world time think face stori could tell time think eye look world tri make sens see think way see think way think children born world time feel love surround year need grow time think hand reach dream think dream could come true ye hand reach could come togeth join come think tomorrow must protect fragil destini presciou life time borrow time come famili ohhh think love pour heart time ye think light look shine grow world time time ye think givin yet think could lose life trembl hand time overcom fear join build world love understand help think heart beat world hope heart heal world heal music heart beat world time time,115,0.00017044738733798236
1881,autumn feel like autumn although breez still feel chill autumn oh ye autumn alway autumn howev green hill still autumn feel frost make spring summer dream seem lost autumn haze recal day warm summer laughter fade soon autumn left autumn though anoth season feel empti autumn year,47,6.966110612943626e-05
1882,hear prayer sin thee compass upon us upon children help us bring end pestil war famin caus hate oppress vanish earth inscrib us bless book life let new year good year us avinu malkeinu sh kolenu avinu malkeinu chatanu l faneycha avinu malkeinu alkenu chamol aleynu v al olaleynu v tapenu avinu malkeinu kaleh dever v cherev v raav mealeynu avinu malkeinu kalehchol tsar umastin mealeynu avinu malkeinu avinu malkeinu kotvenu b sefer chayim tovim avinu malkeinu chadesh aleynu chadesh leynu shanah tovah sh kolenu sh kolenu sh kolenu avinu malkeinu avinu malkeinu chadesh leynu shanah tovah avinu malkeinu sh kolenu sh kolenu sh kolenu sh kolenu,107,0.00015859017778403574
1883,well stack skirt thing pack fix go littl reason rememb leavin grievin one littl kiss could put leavin behind yeah babi babi mayb might chang mind babi babi everyday babi babi make blue go away babi babi everyday babi babi babi way sometim time good time sometim time quit good good time leavin start enter mind one word put suitcas yeah babi babi mayb might stick around babi babi everyday babi babi make blue go away babi babi everyday babi babi babi way,83,0.00012301854912219595
1884,want get nervou great big servic stay away pleas far seventh avenu lose sens reason guess style next season ye dress busi make wreck battl fierc grim depend ladi whim miss miss america answer say toss head rare guy drop dead say ye dress realli guess day say sheer imposs poor kid brave work away tri build industri crazi bold reckless human be hip hip hooray garment trade hear cheer push music hit us everyon day day go way cockey way job must done fray brave crusad gallant ladi garment trade though health got speed gestur breed made answer parad busi sack game yet much busi crap game snapper zipper bowler button know expert know nothin last line got pie come right anoth could die right dough could flow got pot sew fray brave crusad gallant ladi garment trade though health got speed gestur breed made answer parad fray brave crusad gallant ladi garment trade though health got speed gestur breed made answer parad,164,0.00024307279585590526
1885,dolli parad pass goe left parad pass gotta get step still time left readi move front life without life reason rhyme left rest best wanna hold head high need got goal need got drive wanna feel heart come aliv parad pass parad pass gotta go tast saturday high life parad pass gotta get life back life readi move front enough pass life rest best hold head high got goal got drive wanna feel heart come aliv parad pass interlud parad pass listen hear brass harmoni grow parad pass pardon old spirit show light seem tell go dolli whistl blow cymbal crash sparkler light sky gonna rais roof gonna carri give old trombon give old baton parad pass,117,0.000173411689726469
1886,everyon come one father one mother complic live much war mm mayb crazi understand seem vote dig hole wast planet must reason see mayb somebodi els know better know everyon els sister brother got look around stop war war oh mayb crazi understand must reason must reason must reason must reason see somebodi els must better know everyon els sister brother got look around stop war war,67,9.930413001430276e-05
1887,apolog way feel caus alway honest love best could way knew enough got nothin say even sure would someday bad someday good love best could need need someon hold tonight someon turn light need need somehow need time allow want friend say need gone time need hold say sorri els could yet know realli love hard let go like let forget bad rememb good caus love best could need need someon hold tonight someon turn light need need somehow need time allow rememb time good love best could,88,0.00013042930509341258
1888,yesterday tomorrow day day night black white gray question answer silenc sea cradl grave someon yesterday tomorrow day everi dawn ever seen everi thing ever known everi hand ever touch ever could yesterday tomorrow day day night black white gray summer winter multitud fall entri exit labyrinth hall yesterday tomorrow day everi plan dare make everi dream dare dream everi word hope say yet ought yesterday tomorrow yesterday tomorrow,69,0.00010226843240278941
1889,church bell ring heard angel sing day said gave kiss thought wed bliss mother dream come true carri across threshold heard front door slam cabin fever began pack lunch six thirti disturb caus want sleep till eight remind time get tell fault late clean kitchen till noontim vacuum till quarter three cabin fever kill seven call say cook supper know alreadi done kid climb curtain climb wall boy fun let tri get breath fresh air ever get third degre got leav cabin fever kill cabin fever kill gotta leav cabin fever kill,92,0.00013635790987038589
1890,tell moment spring becom summer mayb moment known tree even watch blade grass grow leap bound tini eye cannot see bud decid rose perhap time somehow know tell moment moment becom sign warn awak one morn know must turn special corner mayb april shower someth tell bud flower tell child,50,7.410755971216624e-05
1891,show boat oh listen sister love mister man tell reason love man must somethin de angel plan fish gotta swim bird gotta fli gotta love one man till die help lovin man mine tell lazi tell slow tell crazi mayb know help lovin man mine goe away raini day come back day fine sun shine come home late home without home help lovin man mine help lovin man mine,69,0.00010226843240278941
1892,say pretti face enough launch ship mix charm style gonna miss admir world feet live attent spot street believ believ read believ life lead dinner movi show face town rumor fli fast tri live em get old answer question tri explain prefer stay home friend entertain believ believ read believ life lead outsid world paradis love shoe seem realiz like news believ believ read believ life lead read paper bought bird today fli around hous havin sweet way make feel foolish caus call hous cage noth put rage believ believ read believ life lead believ believ read believ life lead,100,0.00014821511942433247
1893,hand man flim flam man mind sleev talk make believ oh lord man fraud flim flam man cagey flim flam man hand man flim flam man one trojan hors make like santa clau oh lord man fraud flim flam man fox flim flam man everybodi want peopl polic pretti ladi disarm oh oh yeah beauti gent know hardli cent pay monthli rent daili charm hand man flim flam man mind sleev talk make believ oh lord man fraud flim flam man artist flim flam man cagey flim flam men fox fool flim flam man oh worri dishonest believ flim flam man oh cagey flim flam man,106,0.00015710802658979242
1894,perform barbra streisand four littl angel peac love neighbor peac realli harm disarm alway close harmoni four littl angel peac one thing agre fall friend fight end peac peac peac though butcher boss made choic slaughter irish end though injur poor slay hoard upon hoard play part friend ye arm twist elect peac except case crook conquer spear ear tri keep took three littl angel peac live togeth bliss oh never fight unless right alway right see three littl angel peac one thing agre wreck break neck peac peac peac japan right gener night emperor know peac finer fault case absurd pick buri china oh deplor glad world nation poet thinker also though bound without piti lay west citi chines stinker two littl angel peac live togeth amiti sign pack say attack mere formal two littl angel peac one thing agre tri keep calm ga bump peac peac peac know war thing horror peac fill hope love start atroci part civil nearli hope though call sadist imperialist armi requir quarri though may slave splendid day today say sorri though fall urg nice bloodi purg live way carri though clean schmutz would hear nazi putz sake aryan ambit small want noth plan littler austria nazi hazi gazi put whole world hitler four littl angel peac drink older saintiti though slaughter meek confirm everi week talk peac four littl angel peac one thing agre shout shell get hell peac peac peac,239,0.0003542341354241546
1895,free peopl fire pull boat rage sea tell devil liar come save like saw light street pass day scare knee weak forgot come say free peopl fire pull boat rage sea tell devil liar come save like saw man walk water everybodi look know daughter til us come gone free peopl fire pull boat rage sea tell devil liar come save like see alley look like belong put greenest valley still sing old song free peopl fire pull boat rage sea tell devil liar,84,0.00012450070031643927
1896,funni hear funni yeah guy said honey funni girl keep stitch doubl half though may wrong guy good laugh guess funni life far sunni laugh joke girl ought sens humor one thing realli need sure funni girl fella said funni girl funni funni funni girl,45,6.669680374094961e-05
1897,long sad time go long bad time rid last howdi gay time cloudi gray time thing past happi day sky clear let sing song cheer happi day altogeth shout one doubt let tell world happi day care troubl gone happi day sky clear let sing song cheer happi time happi night happi day,53,7.855401329489621e-05
1898,could show thing never dream thing never thought could show miss babi somewher someth never might get lost sea think could show could tell day empti day wast wait tomorrow time place world face could show could show back singer could show miss babi somewher someth barbra never might get lost sea think could show could tell day empti day wast wait tomorrow time place world face could show could show back singer could show could show could show fade,80,0.00011857209553946598
1899,could eas pour heart pleas feel bloom voic warm room memori may fade shadow behind dream alway remind dream forev compar love may even die sweep everi cloud sky may king never,32,4.742883821578639e-05
1900,look advertis billboard everywher see hellaci acr tailor made nightmar traffic back mile attend welcom devilish smile steadi steadi ticket readi steadi steadi go hell dark sin fill citi amus park one way ticket side dr jekyl mr hyde see lizzi borden one star tricki dicki barkin flashin pardon jack ripper slashin tire even devil need money cover overhead open hellaci acr press agent said hang heavi partner crime forget consequ good time steadi steadi ticket readi steadi steadi go hell dark sin fill citi amus park one way ticket side dr jekyl mr hyde get studi suspicion doubt hellaci acr listen mischief maker admiss free pay get,108,0.00016007232897827906
1901,oh hello dolli well hello dolli nice back belong lookin swell dolli tell dolli still glowin still crowin still goin strong feel room swayin band playin one old favorit song way back take wrap fella find empti lap fella dolli never ever go away hey hello dolli well hello dolli realli nice back belong girl lookin swell dolli tell dolli still glowin still crowin still goin strong feel room swayin band playin one old favorit song way back take wrap fella find big fat lap fella dolli ever go away dolli ever ever go away dolli ever go away,99,0.00014673296823008915
