,song_y,Similarity,song_x,artist_y,song_y_name,artist_id_y,artist_x,song_x_name,artist_id_x
109,10443,0.09696447793071088,31363,Foo Fighters,Statues,151,Selena Gomez,Fly To Your Heart,467
110,10455,0.06017283742102562,31363,Foo Fighters,What If I Do?,151,Selena Gomez,Fly To Your Heart,467
111,10410,0.1450755315206254,10421,Foo Fighters,Tired Of You,151,Foo Fighters,Damn You Damn Everyone,151
112,10395,0.07325487047909472,10421,Foo Fighters,Make A Bet,151,Foo Fighters,Damn You Damn Everyone,151
113,10448,0.13934291145114652,31366,Foo Fighters,The One.,151,Selena Gomez,That's More Like It,467
114,31613,0.13913707175448328,31633,Snoop Dogg,Can't Say Goodbye,472,Snoop Dogg,Hi 2 U,472
115,10370,0.138432440267758,10457,Foo Fighters,Everlong,151,Foo Fighters,X-Static,151
116,10381,0.1320077586313988,10457,Foo Fighters,"Hey, Johnny Park!",151,Foo Fighters,X-Static,151
117,31587,0.13485936033339357,31627,Snoop Dogg,Deez Hollywood Nights,472,Snoop Dogg,Gangsta Like Me,472
118,31618,0.12840045897058716,31627,Snoop Dogg,Doggyland,472,Snoop Dogg,Gangsta Like Me,472
119,10391,0.10596580024269922,31627,Foo Fighters,Just Another Story About Skeeter Thompson,151,Snoop Dogg,Gangsta Like Me,472
120,31622,0.100174037681822,31627,Snoop Dogg,Freaky Tales,472,Snoop Dogg,Gangsta Like Me,472
121,10444,0.07159491329809928,31627,Foo Fighters,Summer's End,151,Snoop Dogg,Gangsta Like Me,472
122,10367,0.13289951712864273,10414,Foo Fighters,Disenchanted Lullaby,151,Foo Fighters,A Matter of Time,151
123,10436,0.13277837964536657,10449,Foo Fighters,Over And Out,151,Foo Fighters,Up In Arms,151
124,10435,0.1179269916382341,10449,Foo Fighters,On The Mend,151,Foo Fighters,Up In Arms,151
125,10447,0.040947007127705874,10449,Foo Fighters,The Feast And The Famine,151,Foo Fighters,Up In Arms,151
126,10434,0.12486632795994783,10444,Foo Fighters,No Way Back,151,Foo Fighters,Summer's End,151
127,10397,0.10954248989412646,10444,Foo Fighters,New Way Home,151,Foo Fighters,Summer's End,151
128,31375,0.12176498623612163,31587,Selena Gomez,We Own The Night,467,Snoop Dogg,Deez Hollywood Nights,472
129,10441,0.059027445761721434,31587,Foo Fighters,Spill,151,Snoop Dogg,Deez Hollywood Nights,472
130,31364,0.11802460432953515,31595,Selena Gomez,Hands To Myself,467,Snoop Dogg,I Knew That,472
131,31362,0.09567429154901651,31595,Selena Gomez,Feel Me,467,Snoop Dogg,I Knew That,472
132,10369,0.11735517639195467,10408,Foo Fighters,End Over End,151,Foo Fighters,Throwing Needles,151
133,10426,0.11567814383099176,10451,Foo Fighters,Live-In Skin,151,Foo Fighters,Walking A Line,151
134,10374,0.059668392576481356,10451,Foo Fighters,Fraternity,151,Foo Fighters,Walking A Line,151
135,10361,0.11518493149514929,10407,Foo Fighters,Alone Easy Target,151,Foo Fighters,This Is A Call,151
